"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04915","Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","4/138","134/10649",0.0962119485876938,0.284262575372732,0.214827317420688,"Ncoa1/Itpr1/Plcb1/Creb5",4
"mmu05210","Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer - Mus musculus (house mouse)","3/138","88/10649",0.105923387096815,0.306273203890519,0.231461530605521,"Tcf7l2/Dcc/Rac3",3
"mmu00514","Metabolism","Glycan biosynthesis and metabolism","mmu00514","Other types of O-glycan biosynthesis - Mus musculus (house mouse)","2/138","43/10649",0.106802963407976,0.306273203890519,0.231461530605521,"Galntl6/Galnt17",2
"mmu04260","Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction - Mus musculus (house mouse)","3/138","89/10649",0.108631908948095,0.307003220940269,0.232013230400203,"Slc8a1/Atp1a2/Cacnb4",3
"mmu04962","Organismal Systems","Excretory system","mmu04962","Vasopressin-regulated water reabsorption - Mus musculus (house mouse)","2/138","44/10649",0.110976848368411,0.308311955341588,0.233002287437637,"Dync1i1/Creb5",2
"mmu05014","Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","8/138","376/10649",0.115207772486187,0.308311955341588,0.233002287437637,"Nrg3/Gria1/Tubb2b/Nrg1/Tuba1a/Gria2/Grin2b/Nefm",8
"mmu05163","Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","6/138","256/10649",0.115390855146158,0.308311955341588,0.233002287437637,"Itpr1/Rac3/Plcb1/Gng7/Gnb2/Creb5",6
"mmu04520","Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction - Mus musculus (house mouse)","3/138","92/10649",0.116916758553022,0.308311955341588,0.233002287437637,"Tcf7l2/Nlk/Rac3",3
"mmu04270","Organismal Systems","Circulatory system","mmu04270","Vascular smooth muscle contraction - Mus musculus (house mouse)","4/138","144/10649",0.117000434334756,0.308311955341588,0.233002287437637,"Kcnma1/Itpr1/Plcb1/Gucy1b1",4
"mmu05205","Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","5/138","204/10649",0.125609017884631,0.32658344650004,0.246810701808397,"Col1a1/Itpr1/Gpc3/Col1a2/Vtn",5
"mmu04072","Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway - Mus musculus (house mouse)","4/138","149/10649",0.128073972730411,0.328610851084607,0.248342883410769,"Grm5/Dgki/Grm7/Plcb1",4
"mmu04973","Organismal Systems","Digestive system","mmu04973","Carbohydrate digestion and absorption - Mus musculus (house mouse)","2/138","50/10649",0.136847521239158,0.346561904436828,0.261909131558197,"Plcb1/Atp1a2",2
"mmu05020","Human Diseases","Neurodegenerative disease","mmu05020","Prion disease - Mus musculus (house mouse)","6/138","273/10649",0.143546022710953,0.358865056777382,0.271207060452542,"Tubb2b/Itpr1/Ncam2/Tuba1a/Grin2b/Creb5",6
"mmu04015","Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway - Mus musculus (house mouse)","5/138","215/10649",0.146995967304451,0.362838147143897,0.274209665857736,"Rac3/Plcb1/Drd2/Sipa1l2/Grin2b",5
"mmu04922","Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway - Mus musculus (house mouse)","3/138","104/10649",0.152230146930108,0.371060983142139,0.280423954871252,"Itpr1/Plcb1/Creb5",3
"mmu04934","Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome - Mus musculus (house mouse)","4/138","162/10649",0.158784614564728,0.378843924715921,0.286305800055217,"Tcf7l2/Itpr1/Plcb1/Creb5",4
"mmu04978","Organismal Systems","Digestive system","mmu04978","Mineral absorption - Mus musculus (house mouse)","2/138","55/10649",0.159308727316438,0.378843924715921,0.286305800055217,"Slc8a1/Atp1a2",2
"mmu05215","Human Diseases","Cancer: specific types","mmu05215","Prostate cancer - Mus musculus (house mouse)","3/138","107/10649",0.161540952229915,0.379523923913655,0.286819699583869,"Tcf7l2/Grm5/Creb5",3
"mmu04340","Environmental Information Processing","Signal transduction","mmu04340","Hedgehog signaling pathway - Mus musculus (house mouse)","2/138","58/10649",0.173094331498786,0.40182612669361,0.303674265787344,"Cdon/Ccnd2",2
